Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C102,C112,C101,C104,C107,C420,C415,C409,C424,C417,C416",11,100n,,CC0603KRX7R9BB104,YAGEO,C14663,,,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C14663,,,
C103,1,10u,1206,CL31A106KBHNNNE,Samsung Electro-Mechanics,C13585,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C13585,,,
"C106,C125,C113,C123,C111,C105,C120,C108,C116,C109,C410,C419",12,10u,,CL31A106KBHNNNE,Samsung Electro-Mechanics,C13585,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C13585,,,
C110,1,100n,0402,CL05B104KO5NNNC,Samsung Electro-Mechanics,C1525,,,https://www.lcsc.com/datasheet/C1525.pdf,,,
"C114,C119",2,22u,,CL21A226MAQNNNE,Samsung Electro-Mechanics,C45783,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C45783,,,
"C118,C122",2,22u,0805,CL21A226MAQNNNE,Samsung Electro-Mechanics,C45783,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C45783,,,
"C423,C418,C422,C421",4,1u,,CL10A105KB8NNNC,Samsung Electro-Mechanics,C15849,,,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15849,,,
"D101,D102",2,SMF24A_C19077514,SOD-123FL_L2.7-W1.8-LS3.8-RD,SMF24A,R+O(宏嘉诚),C19077514,,,https://www.lcsc.com/datasheet/C19077514.pdf,,,
"D107,D108",2,LED,0603,KT-0603R,Hubei KENTO Elec,C2286,,,https://datasheet.lcsc.com/datasheet/pdf/011ec3e8cb1e825f6961d29bc4db4c7a.pdf?productCode=C2286,,,
J101,1,BATT,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J102,1,GND,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J104,1,Conn_01x08_MountingPin,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,SM08B-SRSS-TB(LF)(SN),JST,C160401,,,https://datasheet.lcsc.com/datasheet/pdf/2304141430_JST-SM08B-SRSS-TB-LF-SN_C160401.pdf,,,
J404,1,A,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J405,1,B,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
J406,1,C,TestPoint_Pad_4.0x4.0mm,,,,,,,,,
L101,1,15uH,IND-SMD_L7.1-W6.6,APH0630T150M,APV,C5349699,,,https://datasheet.lcsc.com/datasheet/pdf/f62bfcad7977d274b7ac9da719c32635.pdf?productCode=C5349699,,,
L402,1,600ohm@100MHz,L0603,GZ1608D601TF,Sunlord,C1002,,,https://datasheet.lcsc.com/datasheet/pdf/1810231210_Sunlord-Shenzhen-Sunlord-Electronics-GZ1608D601TF_C1002.pdf,,,
"Q402,Q403,Q404,Q401,Q405,Q406",6,NTMFS5C430NLT1G,DFN-5_L4.9-W5.9-P1.27-LS6.2-BL,NTMFS5C430NLT1G,onsemi,C194661,,,https://www.onsemi.com/products/discrete-power-modules/mosfets/ntmfs5c430nl,,,
R101,1,4W 0m2,,,Milliohm,C5127866,,,,,,
"R102,R123",2,1k,,0603WAF1001T5E,UNI-ROYAL,C21190,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C21190,,,
R115,1,47k,0402,0402WGF4702TCE,UNI-ROYAL,C25792,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C25792,,,
R116,1,3k,0603,0603WAF3001T5E,UNI-ROYAL,C4211,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C4211,,,
"R122,R448,R451,R457",4,3k3,,0603WAF3301T5E,UNI-ROYAL,C22978,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C22978,,,
"R408,R409,R407",3,220R,,0603WAF2200T5E,UNI-ROYAL,C22962,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C22962,,,
"R410,R406",2,10k,0603,0603WAF1002T5E,UNI-ROYAL,C25804,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C25804,,,
"R419,R412,R416,R444,R411,R415",6,10R,,0603WAF100JT5E,UNI-ROYAL,C22859,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C22859,,,
"R446,R418,R414,R445,R413,R417",6,2.2R,,0603WAF220JT5E,UNI-ROYAL,C25877,,,https://www.lcsc.com/datasheet/C25877.pdf,,,
"R447,R454,R450,R449,R458,R456",6,33k,,0603WAF3302T5E,UNI-ROYAL,C4216,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C4216,,,
R452,1,100k,,0603WAF1003T5E,UNI-ROYAL,C25803,,,https://www.lcsc.com/datasheet/C25803.pdf,,,
"R453,R455",2,10k,,0603WAF1002T5E,UNI-ROYAL,C25804,,,https://datasheet.lcsc.com/datasheet/pdf/0a975aaa49b7c97f38a963127be4a823.pdf?productCode=C25804,,,
TP101,1,+BATT,,,,,,,,,,
TP102,1,GND,,,,,,,,,,
"TP103,TP104,TP403,TP404",4,TestPoint,,,,,,,,,,
U101,1,INA186A2,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,INA186A2QDBVRQ1,Texas Instruments,C2867989,,,https://www.lcsc.com/datasheet/lcsc_datasheet_2302220000_Texas-Instruments-INA186A2QDBVRQ1_C2867989.pdf,,,
U102,1,LMR51420YDDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,LMR51420YDDCR,TI,C5383002,,,https://datasheet.lcsc.com/datasheet/pdf/5e19be5dd53d60c1459b26475bdff8d3.pdf?productCode=C5383002,,,
U103,1,TLV76733DRVR,WSON-6_L2.0-W2.0-P0.65-TL-EP,TLV76733DRVR,TI,C2848334,,,https://datasheet.lcsc.com/datasheet/pdf/8f9ae569d9e00b4f6c6b122dbc277210.pdf?productCode=C2848334,,,
